,OBJECTID,SUB_BASIN,UUID,2020-Feb_26_06,2020-Feb_26_12,2020-Feb_26_18,2020-Feb_27_00,2020-Feb_27_06,2020-Feb_27_12,2020-Feb_27_18,2020-Feb_28_00,2020-Feb_28_06,2020-Feb_28_12,2020-Feb_28_18,2020-Feb_29_00,2020-Feb_29_06,2020-Feb_29_12,2020-Feb_29_18,2020-Mar_01_00,2020-Mar_01_06,2020-Mar_01_12,2020-Mar_01_18,2020-Mar_02_00,2020-Mar_02_06,2020-Mar_02_12,2020-Mar_02_18,2020-Mar_03_00,2020-Mar_03_06,2020-Mar_03_12,2020-Mar_03_18,2020-Mar_04_00,2020-Mar_04_06,2020-Mar_04_12,2020-Mar_04_18,2020-Mar_05_00,2020-Mar_05_06,2020-Mar_05_12,2020-Mar_05_18,2020-Mar_06_00,2020-Mar_06_06,2020-Mar_06_12,2020-Mar_06_18,2020-Mar_07_00
0,1,Ravi,20f30b79-b0dc-4c5c-8c46-ac5e088f03ec,0.0,0.0,0.0,0.0,0.008357070951853602,0.07238161773510804,0.23331563340216915,0.35223286942253496,0.7353297499243712,1.7270524948866277,1.6655454739394089,5.163470629104171,5.217731424388039,5.417984503538985,8.29750636086073,4.7177145591858,3.2083612652459013,2.04674014846252,0.21695511304315063,0.060300268654078164,0.0,0.15530998992910983,0.029732275941122766,0.021081282783076964,0.0,0.2504986709791125,0.3544724157664985,2.135123287683266,0.7449085750313684,0.5381553641417223,0.0993310782671042,0.02919564619459395,0.0,0.28986738498886183,0.17208719920510815,0.5285492689400868,2.273295907173771,6.695539778315786,19.101777687146,7.252797495250776
1,2,Sabarmati Lower,0e0c0ab6-2464-4402-8665-a2c52c969e7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,Saraswati,6e0dcc69-173e-4baf-ae8a-9f0bbeb245cd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009809782665658726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,Sabarmati Upper,15d7af1b-ce7d-4e75-9c1f-a1da71c1a7b0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026099912869709907,0.018992034987834194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,Shetranjuli and other east flowing rivers,7f1d13d8-d156-46c2-ab69-16a0366fc3e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02087997404270801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,Shaksgam,29d79f2f-ca85-403f-a61c-04c1bf3b46f7,0.0,0.0,0.0,0.0,0.004166678796686259,0.15842002823495588,0.09702876081579619,0.5072174486943627,0.2541408325458852,0.8745460803320025,0.7841390385964466,0.34494050777929375,0.13423787391008582,0.8772842707194772,0.9599828713665541,0.5136694239693957,0.6629530903874798,0.5410001519063388,0.04590337242735592,0.01590925735022224,0.009587028101809246,0.07535822238263137,0.011999959312616302,0.012057395831008188,0.012182502945800788,0.09851495364055295,0.09146112618247298,0.22525587806542138,0.3651376683315274,0.6424192837298319,0.6613312348970939,0.7609769357745627,0.6215215127122861,0.6781702937107473,0.6591991857387018,0.6088014337853093,0.4211499051747183,0.5838743668735088,0.40170924006697767,0.6169478726212213
6,7,Shyok,1cc7983a-bb2c-4570-ac5e-2020fe268025,0.0,0.0,0.0,0.0,0.011351906622268801,0.2605187936259874,0.31102556790009306,0.5374460412242931,0.3950959505943689,0.8776019148655926,0.6041945325424257,0.37859588828914065,0.20430336666778542,0.5032230561918212,0.5394657618163584,0.5917106184789086,0.8249419614983059,0.6130800183233267,0.24393337095305417,0.11031610042997823,0.0348465421519068,0.03280718063998419,0.014688020550669438,0.033344966269435915,0.02048831588259311,0.06373050267329056,0.12265821390076152,0.18759659984795765,0.3615846990798804,0.4915964640944336,0.24324021862130984,0.2064299004006508,0.14290162602809392,0.11186610328575992,0.23615625679900637,0.2526287349804408,0.22420471567085143,0.4672236836789798,0.5683920228026687,0.8645453279629758
7,8,Sone,71a9e8cd-0b3a-46a1-bdde-76f8163e96b8,0.01858967996296954,0.02605826376055012,0.0005980064764996637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.644280694011683e-09,0.036331376760246406,0.1310397641023509,0.12894121748286955,0.0039589169738245234,1.2295058581727174,0.42476772553218317,0.06630924957428025,0.3436959698315305,0.06634176705851347,0.0188181716523277,0.0,0.0,0.0008175557258706437,0.0,0.0,0.0329973030743621,0.0014968339338783034,0.026106252081022283,0.001365343717117876,0.04014337446464916,0.1859141230274451,0.04822439228900932,0.00598407004221767,2.417680008533198,0.9440560648208463,0.23522949104024082
8,9,Subernarekha,b9bbb5b1-9bb4-4c51-884d-1e8dadde3682,0.012749486054204394,0.0,0.09786973834598511,0.019245863254170555,0.0025168090967244926,0.0,0.018230944473075036,0.004222936511545347,0.006014666858174078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020377784740037895,0.5355777826169325,0.0802178101354889,0.0,0.0035649247651989378,0.011513502191599871,0.011323672652716117,0.0,0.174112287136958,0.08559095701993785,0.2509130726726866,0.3951158734471229,0.3495399729483228,0.06497190950492,0.4289559652338429,0.3624507842342194,2.6475627894596343,1.0968388270141833,0.8207615684690066
9,10,Sutlaj Lower,8a79a1f9-7b9b-41ab-95f3-8a6a9b3cd297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016818137798016945,0.17462397971381396,0.0,0.04708376016819976,2.004925094240276,1.2571453140071565,0.39054434752137485,3.6571087981972474,1.480307637636241,0.6581664337845812,0.08521410564543168,0.0,0.0,0.0,0.0004328301564677603,0.0014855036464278268,0.005764945481152698,0.0,0.02747285543854754,1.25219362469534,0.24740296734683695,0.006545365095663588,0.0,0.025839798699767304,0.0142336586892281,0.0003765748310162387,0.0,0.06160009804209775,0.4289138386145047,0.7903658271208426,2.265839212337247,8.064986350556223,3.6095244478714488
10,11,Sulmar,21be6412-5e44-4515-9a02-a9ea9c267701,0.014273068521650799,0.0,0.0,0.0,0.0,0.0,0.0,0.0013428224559246269,0.0004854009994349862,0.07292900615725025,0.11211179297561345,0.0065490686872779315,0.00239424555131965,0.024493529575766736,0.038601982583086725,0.04654030244788859,0.17675206418146494,0.10761711007568392,0.04328667616007013,0.0064865945646742085,0.0007500311246653593,0.007249435512038703,0.004767649858608306,0.006338473901520315,0.0,0.004769961082308814,0.0017311004482175542,0.005596986227209189,0.005577696308916699,0.1211158118570918,0.01524828339922897,0.0042899713261712906,0.00515594693690154,0.004244367863133888,0.00509743479849684,0.010000304992726007,0.009011924633986574,0.060520497322667746,0.06165268568603412,0.20656992615370273
11,12,Sutlaj Upper,547cdfcc-b320-4ab1-95af-86eca3211864,0.0,0.0,0.0,0.0,4.4736073929064146e-06,0.10725793489482953,0.252589053440006,0.25856925609968273,0.14004207187161458,0.783056949742067,0.5994384493847179,0.575151930439621,1.2840654196445414,2.7954573947454033,1.439764569063698,0.7975212670527888,0.5575795869231881,1.1908310782109535,0.26845361371093013,0.07205516704456819,0.001132149215629103,0.3721411701468129,0.41333743437539094,0.023793875527027157,0.0006719269486069396,0.19553168012479333,0.1586609866892114,0.3826932756013968,0.4852122095330641,1.051291345444627,0.2717233781319511,0.06161258742764722,0.0067158130601662,0.0792435112097316,0.06094453345091395,0.05245967400213007,0.2971645967689876,1.6598230314246427,0.787782000442999,2.359828938593953
12,13,Tapi Middle,61a1ecb4-0511-4b72-aceb-5e2c7312ad2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03426471299414988,0.46075700987324225,0.18400588148188052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,Tapi Upper,74baa857-c043-46c4-aa82-edd4f1e7f1d9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05210837576903474,1.1218648030880645,1.9752098260232624,0.44013995784410687,0.0459261998261342,0.32324730023786985,0.007643783729976268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306877664189404,0.0647398647762929,0.04871346695674427,0.034936794943282466,0.013462294494833481
14,15,Tons,58fed4e2-8bbe-414a-9dca-ef5850e33627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020698513198747683,0.5074991957047216,0.4381289867354434,0.26537398830943926,0.0320896970852411,0.491584370701542,0.017736768884984835,0.022729562457855606,0.088422722242355,0.0037127448262952822,0.0,0.0,0.0,0.0,0.0,0.0002101950412044706,0.0,0.07897220332256603,0.48551027390668045,0.026041917066282425,0.4344223997204087,0.1538534582215979,0.4155549179075994,0.6292413452880509,0.22189127140344972,0.24946361124521285,2.1040202456358448
15,16,Tungabhadra Lower,f02cdfdb-2a7e-401d-9d02-a2a28f736fc8,0.0,0.0,0.00942798411171106,0.04126669471332731,0.04802345526020623,0.00151495370583377,0.0025508625537334203,0.0018765046008075907,0.0,0.0,3.580926654892587e-06,3.0245037361068644e-08,0.0,0.0,0.006056663039898127,0.011873050316718581,0.0,0.0,1.0379839516344937e-05,0.0005099417557123353,0.0,0.0,0.0,0.012544850988663663,0.0,0.00010179925449601221,3.429701468087244e-06,0.02289619010129195,0.05969597077550442,0.00017104775988219665,0.0,5.9843632506026026e-05,0.0,0.0,0.0006830808698760365,0.031407353009823884,5.722491667170181e-05,0.0,0.0032207259133958575,0.4648203842298279
16,17,Tungabhadra Upper,49664579-1f3a-4966-b506-bdf65c4c8055,0.0,0.0019855562663650297,0.09385444465598206,0.13263247814164422,0.0339501554484556,0.28511459936859945,0.08615372946182975,0.017668112397563586,0.0003776147312403978,0.0032738592655790827,0.08124047933988807,0.07135603929218037,0.009055844930109573,0.02438951365093918,0.13958443261378253,0.10333036009378375,0.001587587226437812,0.020525460862524266,0.03817556396696297,0.02582682197865504,0.0,0.0,0.0008765275262091901,0.04831200887558698,0.0,0.03401529867990816,0.02244486255738706,0.0005846748467357608,0.00964983807292042,0.0003909412634993302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,Upstream of Gomti confluece to Muzaffarnagar,ce93c3e3-d14f-46cc-8541-7f3b37e8fb64,0.0,2.2310568282580286e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007150523014202963,0.5157504077041892,0.23178189590284387,0.001558442444028499,1.343320628318845,0.3850403649139207,0.03722443620417866,0.02624866806171607,0.49518735706744627,0.17202489825830453,0.0,0.04155111643078397,0.07321976050694169,0.21381884220914665,0.002518312519003278,0.0,3.517010389183576e-07,0.09558695463348696,0.04775253861530481,0.0,0.2829863990060529,0.22134266589572033,0.05956817420956934,0.10663789171596438,0.2572783970252815,0.31685519053760186,0.22754189954095186,0.1045444776504815,3.660972716134098,2.780647813791695
18,19,Upper Indus,c9a01b93-dfd9-4374-b603-a36cda7bd612,0.00021409456260741648,0.0,0.0,0.0,0.03932271472395861,0.4299700128544164,0.31228296343482215,0.665853031293281,1.144139462510174,1.3921412578158838,0.9844367850909089,0.6142177844173449,0.8469458201860126,1.5439958407287988,0.9692104930664892,1.255796098831982,1.131912171192869,1.0462971476462741,0.29409970386437156,0.07301729305542233,0.011460941676230999,0.033833506165728326,0.023569432464144866,0.030483524477955645,0.010857280579347406,0.277828497207269,0.36294401570970936,0.6506102016992418,0.6269802974261898,0.5350829905095748,0.11887923252528688,0.1001082197970773,0.04699617572074018,0.07409145002130388,0.10830874271955478,0.1284142245527334,0.3836387547815696,1.05367918513718,0.9877214688556875,1.3547689130425773
19,20,Vaippar and others,5767c8a8-9dac-443a-9bb5-1f6f0ead1b0a,0.24936723249898257,0.011364308498277869,0.0,0.010402410278054533,0.05227772856658614,0.0025336735303618145,0.16311563643846688,0.10305302062255506,0.07391898045736238,0.008428670271717993,0.037946089726697704,0.06796535743261771,0.07665543373740374,0.004312137332022996,0.004522799730439465,0.0,0.00034273806339833247,0.0,0.0,0.0,0.001073323432443415,0.0,0.0,0.0,0.0,0.004526810582862186,0.011123208267595597,0.0045485672677231985,0.0,0.007564075519934096,0.01988468572203907,0.0034650593376919017,0.0,0.05960573726571788,0.6108457245475175,0.07065723027604552,3.5784919290320835e-06,0.058965901852527404,0.01859393176371118,0.027294583345374948
20,21,East flowing rivers between Vamsadhara and Mahanadi,cf84e615-179b-4cfd-acb9-27aca174e2a2,0.9717143563089325,0.40369772181027647,0.5854972837167212,6.304536368732252e-05,0.0,0.0,0.0,0.0,0.0,0.0010040964634462205,0.0,0.0,0.0,0.004019114956905343,0.0,0.0004981323798652867,0.0,0.002513214824266659,0.0015062985927219517,0.007527172387370712,0.0,0.01608852459692905,0.00011467553164293937,0.0,0.0,0.0,0.02047523485259741,0.006089859655698396,0.022282039395835403,0.16638946766114546,0.7616715101163649,0.10350206337932848,0.042453925146816396,1.8796816090399728,1.6603331523176963,0.9272783916130194,3.4311040362495757,2.2031914362150835,2.433578024971593,2.6862438881642343
21,22,Varrar and others,4a6b386e-8fa4-464f-a8ed-1b70db684072,2.660535753240251e-05,0.010634867332913755,0.011377794307570254,0.04403625150168652,0.019252344144106606,0.3588478147449896,0.2667890956043334,0.08263291299410543,0.0020840681617853617,0.014043080452554847,0.3244505548103436,0.09685537119316959,0.0023221618325668285,0.013499167686628427,0.41672826597504964,0.18160329487555454,0.0,0.004735210717940366,0.0014418629804785687,0.07088473798069023,0.000596150253714725,0.00417674512325926,0.003468326952134646,0.012038970432126681,0.005975403322612782,0.09884190019496646,0.03130748292758365,0.021440145260409688,0.0,0.011549929094252186,0.014090868828440144,0.0068817298576265016,0.0009668947030178938,0.0026201154907157915,0.00407167537306549,0.0,0.003157232832040432,0.012067342349628958,0.0009017799917756354,0.0
