OBJECTID,SUB_BASIN,UUID
82,Chhimtuipui & Others,5f6e2d38-485c-49ae-983d-e7f3f55fb451
83,Mahanadi Upper,ae60467f-ef20-497d-95a6-f53904335648
84,Muhury and Others,42791b5a-03a8-400f-8609-fba877cb008c
85,Mahi Upper,2b8cf25f-10bd-49ed-acad-da28515e17fe
86,East flowing rivers between Nagavali and Godavari,3aadf400-c31f-4692-8484-3807b8d3a5d1
87,Narmada Middle,0afd0acd-6158-434e-9231-67d3d6ecdc05
88,Naoch chara and others,1c6a357f-2008-4a82-be4e-3578227ab588
89,Narmada Upper,8b26d329-fdc7-4989-b7ea-82f1dd68c246
90,Netravati and others,9be2dc8a-953e-4cd5-b936-0e594221942d
91,Palar and other,e7e0c67e-750e-49fe-bf79-79f31a8679de
92,Pamba and others,77a37967-fd7c-4710-be26-884c1854bfe9
93,Periyar and others,2b2fe2f2-b798-42f2-a22a-dcd4c9689584
94,Pennar Lower,788e6ba2-42c5-46b7-a2db-391bc776e2f8
95,Pennar Upper,41a3dc57-fc1f-4e7c-bf44-9a8dad278662
96,Ponnaiyar and other,3050b8da-6e25-4809-bbf1-0488c9d05d33
97,Pranhita and others,5bc5c0d9-0336-4e33-91f9-0cb875046d7d
98,Ramganga,f6e66e04-b548-4355-9db1-82bca94d1a7c
99,Drainage of Rann,afc6d45c-e9e9-443c-b3e7-0d31790eec31
86,Nagavali,502a0492-733f-11ea-89f5-1002b57d618a
21,Vamsadhara,4b8e795d-733f-11ea-89f5-1002b57d618a
